city,AQI,PM2.5/1h,PM10/1h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
安康,47.0,21.0,46.0,0.6,13.0,67.0,28.0,10.0
鞍山,15.0,9.0,14.0,0.8,13.0,37.0,27.0,7.0
阿里地区,37.0,1.0,8.0,0.4,23.0,68.0,72.0,8.0
阿坝州,29.0,11.0,28.0,0.3,6.0,73.0,50.0,8.0
安阳,53.0,19.0,54.0,2.02,31.0,55.0,51.0,12.0
安顺,36.0,15.0,28.0,0.48,18.0,113.0,55.0,19.0
百色,50.0,33.0,49.0,0.8,9.0,71.0,26.0,17.0
白山,14.0,6.0,13.0,0.45,6.0,25.0,17.0,7.0
白银,45.0,11.0,44.0,0.65,29.0,103.0,65.0,21.0
保山,46.0,32.0,43.0,0.65,17.0,91.0,49.0,8.0
阿克苏地区,59.0,18.0,66.0,0.5,26.0,58.0,55.0,6.0
白城,19.0,6.0,16.0,0.4,5.0,57.0,36.0,6.0
巴中,38.0,22.0,37.0,0.75,17.0,73.0,38.0,5.0
北海,30.0,8.0,29.0,0.53,5.0,49.0,44.0,5.0
北京,35.0,6.0,19.0,0.39,10.0,86.0,68.0,2.0
蚌埠,31.0,4.0,12.0,0.3,10.0,64.0,60.0,9.0
巴彦淖尔,31.0,9.0,23.0,0.57,7.0,96.0,55.0,7.0
保定,45.0,16.0,44.0,0.4,30.0,50.0,29.0,6.0
包头,32.0,4.0,20.0,0.54,5.0,88.0,62.0,6.0
宝鸡,29.0,9.0,25.0,0.26,14.0,92.0,52.0,4.0
沧州,23.0,6.0,8.0,0.37,10.0,58.0,44.0,6.0
阿勒泰地区,30.0,8.0,12.0,0.3,7.0,76.0,58.0,11.0
毕节,52.0,25.0,52.0,0.7,32.0,82.0,35.0,8.0
博州,39.0,11.0,38.0,0.25,18.0,72.0,56.0,7.0
昌都地区,29.0,6.0,12.0,0.7,11.0,86.0,57.0,8.0
昌吉州,48.0,18.0,47.0,0.67,26.0,73.0,45.0,10.0
常熟,40.0,13.0,35.0,0.55,15.0,126.0,76.0,10.0
本溪,18.0,2.0,8.0,0.57,6.0,40.0,35.0,4.0
长治,41.0,21.0,40.0,1.02,16.0,103.0,56.0,22.0
长沙,52.0,25.0,52.0,0.77,18.0,134.0,94.0,6.0
常州,34.0,18.0,33.0,0.67,24.0,90.0,57.0,9.0
常德,36.0,8.0,20.0,0.54,8.0,104.0,71.0,4.0
阿拉善盟,47.0,11.0,24.0,0.33,5.0,106.0,92.0,6.0
亳州,32.0,5.0,7.0,0.4,4.0,75.0,62.0,2.0
朝阳,18.0,9.0,13.0,0.6,6.0,42.0,35.0,8.0
郴州,52.0,20.0,52.0,0.8,18.0,81.0,35.0,17.0
池州,42.0,24.0,41.0,0.63,25.0,110.0,57.0,9.0
昌都,56.0,6.0,59.0,0.8,15.0,65.0,54.0,10.0
长春,19.0,6.0,18.0,0.42,13.0,43.0,20.0,3.0
崇左,16.0,0.0,0.0,0.6,6.0,0.0,30.0,12.0
赤峰,29.0,4.0,14.0,0.43,16.0,51.0,57.0,5.0
安庆,52.0,30.0,51.0,0.66,11.0,118.0,64.0,6.0
重庆,53.0,23.0,54.0,0.89,47.0,110.0,47.0,8.0
成都,72.0,49.0,92.0,0.93,54.0,136.0,63.0,12.0
大同,33.0,5.0,21.0,0.52,7.0,84.0,65.0,9.0
楚雄州,48.0,25.0,47.0,0.75,20.0,87.0,24.0,12.0
滨州,28.0,3.0,27.0,1.05,15.0,39.0,42.0,3.0
大连,36.0,13.0,22.0,0.48,8.0,72.0,70.0,4.0
丹东,21.0,6.0,11.0,0.55,5.0,50.0,40.0,4.0
大兴安岭地区,36.0,12.0,35.0,0.45,6.0,37.0,19.0,4.0
大庆,21.0,14.0,20.0,0.36,6.0,58.0,36.0,3.0
滁州,44.0,16.0,43.0,0.5,8.0,89.0,68.0,7.0
德州,25.0,2.0,5.0,0.37,5.0,57.0,49.0,4.0
潮州,61.0,33.0,69.0,0.7,9.0,92.0,64.0,7.0
定西,34.0,7.0,28.0,0.45,26.0,105.0,32.0,9.0
大兴安岭地,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
鄂尔多斯,29.0,7.0,20.0,0.75,14.0,90.0,57.0,13.0
达州,55.0,28.0,58.0,0.54,32.0,88.0,51.0,18.0
恩施州,43.0,13.0,42.0,0.8,21.0,47.0,28.0,4.0
鄂州,41.0,13.0,40.0,1.07,19.0,129.0,70.0,14.0
迪庆州,41.0,11.0,40.0,0.6,14.0,81.0,40.0,8.0
德宏州,38.0,19.0,37.0,1.05,13.0,32.0,12.0,15.0
德阳,63.0,37.0,73.0,0.73,21.0,160.0,97.0,6.0
东莞,36.0,23.0,35.0,0.74,29.0,71.0,37.0,8.0
佛山,42.0,18.0,41.0,0.73,20.0,96.0,51.0,11.0
大理州,36.0,16.0,29.0,0.6,12.0,90.0,71.0,5.0
承德,19.0,10.0,16.0,0.45,10.0,60.0,34.0,7.0
抚州,42.0,25.0,41.0,0.82,7.0,122.0,68.0,9.0
甘南州,51.0,29.0,50.0,0.7,0.0,101.0,40.0,5.0
阜新,22.0,9.0,15.0,0.44,5.0,44.0,42.0,4.0
赣州,59.0,41.0,61.0,1.23,11.0,141.0,50.0,13.0
抚顺,19.0,5.0,9.0,0.44,6.0,38.0,37.0,8.0
甘孜藏族自治州,51.0,19.0,50.0,0.4,9.0,47.0,41.0,5.0
广安,45.0,17.0,41.0,0.78,26.0,143.0,55.0,14.0
广元,28.0,9.0,27.0,0.55,25.0,62.0,24.0,18.0
富阳,38.0,20.0,37.0,0.8,15.0,84.0,41.0,5.0
阜阳,36.0,5.0,9.0,0.33,15.0,94.0,70.0,2.0
福州,46.0,30.0,45.0,0.73,12.0,104.0,49.0,4.0
固原,34.0,8.0,31.0,0.6,9.0,107.0,49.0,11.0
甘孜州,34.0,22.0,33.0,0.4,14.0,61.0,33.0,14.0
贵港,57.0,35.0,62.0,0.88,22.0,47.0,28.0,13.0
果洛州,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
海东地区,38.0,21.0,32.0,0.5,27.0,120.0,36.0,12.0
桂林,43.0,20.0,42.0,0.68,13.0,89.0,55.0,8.0
海西州,114.0,43.0,175.0,1.0,15.0,140.0,130.0,15.0
海南州,48.0,17.0,0.0,0.7,7.0,150.0,89.0,11.0
海北州,44.0,12.0,20.0,0.9,10.0,128.0,87.0,10.0
海口,24.0,9.0,23.0,0.5,8.0,52.0,32.0,4.0
贵阳,77.0,41.0,101.0,0.88,50.0,78.0,24.0,19.0
邯郸,26.0,13.0,23.0,0.78,18.0,64.0,51.0,7.0
杭州,34.0,16.0,33.0,0.55,13.0,105.0,35.0,4.0
哈密地区,98.0,31.0,143.0,0.75,31.0,59.0,47.0,4.0
防城港,33.0,9.0,32.0,0.53,9.0,56.0,41.0,5.0
海门,32.0,14.0,29.0,0.77,17.0,100.0,62.0,11.0
广州,47.0,26.0,46.0,0.71,28.0,90.0,44.0,8.0
衡水,22.0,9.0,17.0,0.4,14.0,50.0,43.0,7.0
哈尔滨,14.0,6.0,13.0,0.49,10.0,44.0,22.0,7.0
衡阳,67.0,31.0,82.0,1.03,17.0,128.0,51.0,23.0
和田地区,500.0,198.0,609.0,0.7,9.0,77.0,63.0,14.0
合肥,33.0,3.0,16.0,0.43,10.0,90.0,65.0,3.0
河池,30.0,15.0,29.0,0.73,13.0,87.0,51.0,6.0
红河州,50.0,35.0,49.0,0.93,10.0,97.0,53.0,82.0
黑河,39.0,15.0,38.0,0.53,9.0,48.0,23.0,8.0
汉中,46.0,20.0,45.0,0.95,16.0,81.0,49.0,42.0
鹤岗,12.0,7.0,10.0,0.48,3.0,29.0,22.0,5.0
黄冈,54.0,29.0,55.0,0.95,13.0,138.0,75.0,10.0
菏泽,27.0,6.0,11.0,0.6,7.0,56.0,52.0,5.0
怀化,60.0,28.0,68.0,1.12,11.0,91.0,37.0,5.0
贺州,52.0,29.0,52.0,0.8,12.0,71.0,27.0,6.0
淮安,22.0,3.0,12.0,0.43,12.0,37.0,43.0,5.0
惠州,29.0,12.0,28.0,0.72,27.0,46.0,41.0,5.0
淮南,36.0,5.0,19.0,0.37,14.0,87.0,70.0,10.0
葫芦岛,23.0,8.0,13.0,0.77,13.0,40.0,44.0,41.0
湖州,59.0,41.0,58.0,0.79,36.0,87.0,58.0,11.0
呼伦贝尔,20.0,13.0,15.0,0.3,5.0,62.0,31.0,1.0
淮北,26.0,5.0,6.0,0.47,4.0,51.0,50.0,3.0
东营,26.0,0.0,3.0,0.23,2.0,54.0,51.0,4.0
佳木斯,13.0,8.0,12.0,0.56,5.0,16.0,15.0,2.0
吉安,63.0,41.0,73.0,0.75,10.0,122.0,64.0,20.0
胶州,19.0,10.0,18.0,0.5,11.0,41.0,32.0,5.0
呼和浩特,28.0,3.0,14.0,0.51,13.0,83.0,55.0,6.0
江门,47.0,19.0,46.0,0.76,20.0,77.0,47.0,8.0
焦作,58.0,37.0,64.0,0.95,19.0,102.0,76.0,9.0
黄石,45.0,23.0,44.0,1.0,21.0,108.0,65.0,17.0
嘉峪关,47.0,19.0,39.0,0.6,31.0,0.0,92.0,24.0
吉林,28.0,19.0,13.0,0.66,10.0,77.0,35.0,12.0
揭阳,47.0,28.0,46.0,0.65,8.0,91.0,51.0,5.0
黄山,32.0,9.0,24.0,0.43,11.0,101.0,63.0,15.0
金昌,37.0,16.0,36.0,0.53,8.0,117.0,72.0,8.0
晋城,53.0,18.0,54.0,0.6,16.0,89.0,54.0,14.0
荆门,72.0,45.0,91.0,0.94,34.0,78.0,45.0,6.0
胶南,20.0,13.0,14.0,0.95,15.0,44.0,39.0,3.0
荆州,40.0,20.0,39.0,0.67,13.0,103.0,56.0,7.0
江阴,37.0,6.0,18.0,0.73,16.0,111.0,72.0,13.0
即墨,21.0,0.0,11.0,0.9,14.0,39.0,40.0,4.0
景德镇,65.0,35.0,77.0,0.9,15.0,134.0,37.0,13.0
金坛,35.0,8.0,22.0,1.1,11.0,103.0,69.0,10.0
金华,57.0,29.0,62.0,0.67,12.0,116.0,46.0,9.0
酒泉,57.0,15.0,61.0,1.1,37.0,64.0,86.0,27.0
鸡西,52.0,9.0,51.0,0.38,7.0,32.0,18.0,5.0
济宁,19.0,2.0,7.0,0.43,7.0,41.0,37.0,9.0
句容,33.0,7.0,15.0,0.9,8.0,96.0,65.0,20.0
